Sponsor,Program,Session ID,Description,Date,CME Detail #1 - Focus,CME Detail #1 - Credit Type,CME Detail #1 - Earned,CME Detail #2 - Focus,CME Detail #2 - Credit Type,CME Detail #2 - Earned,CME Total - Credit Type,CME Total - Earned
"Varian","Penn Experience with gEUD Optimization",""," Penn Experience with gEUD Optimization: Penn Experience with gEUD Optimization","2023-01-18","Radiotherapy",,"","None",,"","MPCEC",0.5
"Radformation","Impacting Global Health Through RadiotherapyAn Insight Series Webinar",""," Impacting Global Health Through RadiotherapyAn Insight Series Webinar: Impacting Global Health Through RadiotherapyAn Insight Series Webinar","2022-12-07","Radiotherapy",,"","None",,"","MPCEC",1
"Varian, a Siemens Healthineers company","DECT: Basic Principles and Clinical Applications in RT",""," DECT: Basic Principles and Clinical Applications in RT: DECT: Basic Principles and Clinical Applications in RT","2022-11-15","Radiotherapy",,"","Imaging",,"","MPCEC",1
"Radformation","QA The Easy Way With RadMachine",""," QA The Easy Way With RadMachine: QA The Easy Way With RadMachine","2022-11-09","Radiotherapy",,"","None",,"","MPCEC",1
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 4171-N Advances in Automatic Segmentation, Treatment Planning and QA","2022-10-27","Radiotherapy",,"","None",,"","MPCEC",2
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 3135-N You want it by when?: Automating Effective Radiation Oncology Workflows","2022-10-26","Radiotherapy",,"","None",,"","MPCEC",2
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 4226-N Creating a Safer Clinic: Moving Beyond Blame to Create a Just Culture and Avoid Burnout","2022-10-26","General Medical Physics",,"","Patient Safety",,"","MPCEC",1
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 4220-N The Evolving Paradigm of Patient Specific QA","2022-10-26","Radiotherapy",,"","Quality Management",,"","MPCEC",2
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 3004-N AI in Clinical Medical Physics","2022-10-26","General Medical Physics",,"","None",,"","MPCEC",1
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 3120-N Keeping Out of Harm's Way - Safety Revisited","2022-10-26","General Medical Physics",,"","Professional",,"","MPCEC",2
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 3066-N MPLA Session: Personal Leadership in Uncertain Times","2022-10-24","General Medical Physics",,"","Professional",,"","MPCEC",1
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 3016-N Automated Planning and Data-Driven Plan Quality Control","2022-10-24","Radiotherapy",,"","None",,"","MPCEC",1
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 4233-N MPLA Career Development: Secrets to Your Success","2022-10-24","General Medical Physics",,"","Professional",,"","MPCEC",1
"Varian, a Siemens Healthineers company","A Glimpse into the World of Varian Service",""," A Glimpse into the World of Varian Service: A Glimpse into the World of Varian Service","2022-10-11","Radiotherapy",,"","None",,"","MPCEC",1
"Varian, a Siemens Healthineers company","Treatment Planning Standardization and Automation for Linac-Based Single-Isocenter Multi-Target SRS",""," Treatment Planning Standardization and Automation for Linac-Based Single-Isocenter Multi-Target SRS: Treatment Planning Standardization and Automation for Linac-Based Single-Isocenter Multi-Target SRS","2022-09-19","Radiotherapy",,"","None",,"","MPCEC",1
"Radformation","QuickCode: Providing Billing Transparency to your Radiation Oncology Department",""," QuickCode: Providing Billing Transparency to your Radiation Oncology Department: QuickCode: Providing Billing Transparency to your Radiation Oncology Department","2022-05-24","None",,"","None",,"","MPCEC",1
"DVCAAPM","2022 DVCAAPM Spring Symposium",""," 2022 DVCAAPM Spring Symposium: Your Well-being: Tools and Strategies Beyond Personal Resilience","2022-04-29","General Medical Physics",,"","Professional",,"","MPCEC",0.75
"DVCAAPM","2022 DVCAAPM Spring Symposium",""," 2022 DVCAAPM Spring Symposium: Biology-guided Radiotherapy (BgRT)","2022-04-29","Radiotherapy",,"","Nuclear Medicine",,"","MPCEC",0.75
"DVCAAPM","2022 DVCAAPM Spring Symposium",""," 2022 DVCAAPM Spring Symposium: Photon-Counting CT - Opportunities for interdisciplinary preclinical and clinical research","2022-04-29","Diagnostic Radiology",,"","Computed Tomography",,"","MPCEC",0.75
"DVCAAPM","2022 DVCAAPM Spring Symposium",""," 2022 DVCAAPM Spring Symposium: Boldness be my friend! Arm me, audacity, from head to foot:  Clinical and dosimetric considerations in cardiac SBRT for patients with refractory ventricular tachycardia","2022-04-29","Diagnostic Radiology",,"","Cardiovascular",,"","MPCEC",0.75
"DVCAAPM","2022 DVCAAPM Spring Symposium",""," 2022 DVCAAPM Spring Symposium: Radiobiological Basis and Clinical Applications of a UMA Model of Cell Survival Curves (CSC) to Assess Dose-Effects in SBRT, HDR brachytherapy, and concurrent chemo-radiation therapy","2022-04-29","General Medical Physics",,"","Radiobiology",,"","MPCEC",0.75
"AAPM","2022 AAPM Online Learning Center",""," 2022 AAPM Online Learning Center: 2991-N The Case Study: A Valuable Leadership Development Tool","2022-01-26","General Medical Physics",,"","Professional",,"","MPCEC",2
"Radformation","Radformation Users Meeting: Automation from Start to Finish",""," Radformation Users Meeting: Automation from Start to Finish: Radformation Users Meeting: Automation from Start to Finish","2021-07-26","General Medical Physics",,"","None",,"","MPCEC",1
"Radformation","The EZFluence Experience:  Automating 3D Planning",""," The EZFluence Experience:  Automating 3D Planning: The EZFluence Experience:  Automating 3D Planning","2021-01-22","Radiation Protection",,"","None",,"","MPCEC",1
"Radformation","Radformation Users Meeting Lunch and Learn",""," Radformation Users Meeting Lunch and Learn: Radformation Users Meeting Lunch and Learn","2020-07-14","Radiation Protection",,"","External Beam",,"","MPCEC",1
